공연명,공연장소,공연시작일,공연종료일,위도,경도,주소,이미지,예매링크
"지니 팬 콘서트 ""HELLO AGAIN""",동덕여대 백주년기념관,2025-08-30,2025-08-30,37.60565365,127.0408876,서울 성북구 하월곡동 24-5,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009522_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009522
챤미나 내한 공연 〈CHANMINA AREA OF DIAMOND3〉,무신사 개러지,2025-09-18,2025-09-18,37.5515747,126.919728,서울 마포구 서교동 368-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008600_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008600
티나셰 내한공연,블루스퀘어 SOL트래블홀,2025-08-26,2025-08-26,37.54061157,127.0026398,서울 용산구 한남동 727-56,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006758_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006758
페이 웹스터 내한공연 (Faye Webster LIVE IN SEOUL 2025),무신사 개러지,2025-07-23,2025-07-23,37.5515747,126.919728,서울 마포구 서교동 368-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25004829_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25004829
프레드 허쉬 솔로 피아노 2025,영산아트홀,2025-08-14,2025-08-14,37.52947391,126.9249468,서울 영등포구 여의도동 12,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009178_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009178
핫 밀크 첫 내한공연 Hot Milk Loud ＆ Fast Tour Live in Seoul,롤링홀,2025-08-13,2025-08-13,37.54852151,126.9201613,서울 마포구 서교동 402-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008658_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008658
헨리 무디 내한공연,명화라이브홀,2025-07-23,2025-07-23,37.52160138,126.9124751,서울 영등포구 영등포동2가 94-139,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006646_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006646
현대음악앙상블 소리 제25회 정기연주회 Histoire du Jazz - 재즈의 역사,세종문화회관 체임버홀,2025-08-01,2025-08-01,37.57206924,126.9757484,서울 종로구 세종로 81-3,http://ticketimage.interpark.com/rz/image/play/goods/poster/P0/P0004316_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=P0004316
혜은이 썸머파티,서울 대학로 한성아트홀 1관,2025-07-19,2025-08-17,37.58375582,126.9999592,서울 종로구 명륜2가 41-4,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006721_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006721
홍경민 매달리스트 콘서트,SA HALL,2025-08-02,2025-08-02,37.58317015,127.0022756,서울 종로구 동숭동 1-36,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009867_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009867
bbno$(베이비 노 머니) 첫 내한공연,무신사 개러지,2025-11-16,2025-11-16,37.5515747,126.919728,서울 마포구 서교동 368-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009329_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009329
"BOYNEXTDOOR TOUR ""KNOCK ON Vol.1"" FINAL",KSPO DOME,2025-07-25,2025-07-27,37.51926123,127.1273999,서울 송파구 방이동 88,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006286_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006286
CHRISTIAN KURIA LIVE IN SEOUL,스카이아트홀,2025-11-02,2025-11-02,37.5579769,126.8493986,서울 강서구 등촌동 659,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009728_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009728
