보관함역,위도,경도,주소,상세위치
화곡역,37.54165079,126.840455,서울 강서구 화곡동 1089-54,"화곡역 B1층 3,4번 출구 방면 "
까치산역,37.53223067,126.8464443,서울 강서구 화곡동 662-5,까치산역 B1층 4번 출구 방면
신정역,37.52502761,126.8560975,서울 양천구 신정동 1090,"2,3번 출입구 내부(역무실 주변)"
목동역,37.52613512,126.8646253,서울 양천구 목동 926-3,목동역 B1층 2번 출구 방면
오목교역,37.52453408,126.8753073,서울 양천구 목동 406-30,오목교역 B1층 7번 출구 방면(IBK현금지급기 옆)
오목교역,37.52453408,126.8753073,서울 양천구 목동 406-30,"오목교역 B2층 게이트, 도서 대여기 옆"
양평역,37.52557964,126.8864193,서울 영등포구 양평동2가 33-79,"양평역 B1층 엘리베이터(E/V)주변(1,2번출구)"
영등포구청역,37.52583053,126.8966774,서울 영등포구 당산동3가 270-1,"영등포구청역 B4층 게이트 주변(6,7번출구)"
영등포시장역,37.52270938,126.9051796,서울 영등포구 영등포동5가 62-1,영등포시장역 B2층 편의점(7-ELEVEN) 옆(1~4번출구) 
신길역,37.51678703,126.9183672,서울 영등포구 신길동 41-1,신길역 B3층 게이트 주변(3번출구)
여의도역,37.52177539,126.924398,서울 영등포구 여의도동 3,여의도역 B1층 6번 출구 방면
여의나루역,37.52714695,126.932986,서울 영등포구 여의도동 84-4,"여의나루역 B1층 1, 4번 출구 방면 (현금지급기 옆)"
여의나루역,37.52714695,126.932986,서울 영등포구 여의도동 84-4,"여의나루역 B1층 2, 3번 출구 방면"
마포역,37.53955403,126.9458626,서울 마포구 도화동 160,"마포역 B1층 3, 4번 출구 방면 (조명광고 옆)"
공덕역,37.54454169,126.9514512,서울 마포구 공덕동 423-29,공덕역 B1층 2번 5번 출구 방면
애오개역,37.55341315,126.9566694,서울 마포구 아현동 612,"애오개역 B1층 화장실 주변(2번출구,E/V 주변)"
충정로역,37.55976329,126.9644921,서울 서대문구 충정로3가 319-1,"충정로역 B1층 화장실 주변(8,9번출구)"
서대문역,37.56575194,126.9666376,서울 종로구 평동 210,"서대문역 B1층 4, 5번 출구 방면 (상가 맞은편)"
광화문역,37.57164861,126.9764243,서울 종로구 세종로 1-68,광화문역 B1층 2번 출구 방면 (통로)
광화문역,37.57164861,126.9764243,서울 종로구 세종로 1-68,"광화문역 B2층 고객상담실 앞(1,8번출구)"
광화문역,37.57164861,126.9764243,서울 종로구 세종로 1-68,광화문역 B1층 2번출구 방면
종로3가역,37.57042084,126.9921533,서울 종로구 종로3가 10-5,"종로3가역 B1층 4, 5번 출구 방면 (게이트 주변)"
을지로4가역,37.5666405,126.9976321,서울 중구 을지로4가 267-1,"을지로4가역 B1층 편의점(7-ELEVEN) 주변(1,2번출구)"
동대문역사문화공원역,37.56566441,127.0090042,서울 중구 을지로7가 112-3,"동대문역사문화공원역 B2층 게이트 주변(6,7번출구)"
청구역,37.56091655,127.0141658,서울 중구 신당동 295-2,"청구역 B1층 2, 3번 출구 방면"
신금호역,37.55447619,127.0204932,서울 성동구 금호동2가 223-1,신금호역 B1층 E/V 기계실 주변
행당역,37.55736378,127.0295118,서울 성동구 행당동 317-241,행당역 B3층 화장실 주변
왕십리역,37.56126836,127.0371034,서울 성동구 행당동 192,"왕십리역 B1층 4, 5번 출구 방면"
왕십리역,37.56126836,127.0371034,서울 성동구 행당동 192,6번출구 방향
마장역,37.56613896,127.0429849,서울 성동구 마장동 804,마장역 B1층 편의점(7-ELEVEN) 주변
답십리역,37.56697481,127.0525613,서울 성동구 용답동 99,답십리역 B2층 게이트 주변
장한평역,37.56160389,127.0637037,서울 동대문구 장안동 472-3,장한평역 B1층 화장실 주변
군자역,37.55715149,127.0795106,서울 광진구 능동 275-5,"군자역 B1층 5, 6번 출구 방면"
아차산역,37.55224917,127.089565,서울 광진구 능동 256-16,아차산역 B1층  화장실 주변
광나루역,37.54529917,127.1035215,서울 광진구 광장동 237,"광나루역 B1층 3, 4번 출구 방면"
천호역,37.53851121,127.1239285,서울 강동구 천호동 455,천호역 B1층 3번출구 방면
천호역,37.53851121,127.1239285,서울 강동구 천호동 455,천호역 B1층 상가 현금지급기 주변
강동역,37.53588191,127.1323963,서울 강동구 천호동 447,강동역 B1층 화장실 주변
길동역,37.53782649,127.1400213,서울 강동구 길동 378,길동역 B1층 연결통로
굽은다리역,37.54551759,127.1428839,서울 강동구 명일동 345-12,"굽은다리역 B1층 1, 2번 출구 방면"
명일역,37.5513979,127.1440437,서울 강동구 명일동 303-1,명일역 B1층 3번 출구 방면
고덕역,37.55504767,127.154165,서울 강동구 고덕동 310,고덕역 B1층 E/V 주변
